Reference, Value, Footprint, Datasheet
IC1,ATMEGA1284-A,TQFP44,
U5,74HC595,,
U4,74HC595,,
U1,74LS165,,
U3,74LS165,,
P2,CONN_02X03,,
U7,6N136,DIP-8,
P4,DIN_5,,
P5,DIN_5,,
P6,DIN_5,,
DS1,LCD16X2,WC1602A,
D9,Led_Small,,
D8,Led_Small,,
D7,Led_Small,,
D6,Led_Small,,
D5,Led_Small,,
D4,Led_Small,,
D3,Led_Small,,
D2,Led_Small,,
P1,CONN_02X08,,
SW7,SW_PUSH,,
SW6,SW_PUSH,,
SW5,SW_PUSH,,
SW4,SW_PUSH,,
SW3,SW_PUSH,,
SW2,SW_PUSH,,
SW1,SW_PUSH,,
SW8,SW_PUSH,,
SW9,SW_PUSH,,
SW10,SW_PUSH,,
SW11,SW_PUSH,,
SW12,SW_PUSH,,
RV3,POT,,
RV4,POT,,
RV6,POT,,
RV8,POT,,
RV7,POT,,
RV5,POT,,
RV1,POT,,
RV2,POT,,
R1,R_Small,,
U2,FT232RL,,
C1,C_Small,,
C3,C_Small,,
C4,CP1_Small,,
D10,1n4148,,
R3,220,,
R6,470,,
R5,1k,,
J3,Jack_3.5mm_3pin,,
J4,Jack_3.5mm_3pin,,
J5,Jack_3.5mm_3pin,,
J6,Jack_3.5mm_3pin,,
J7,Jack_3.5mm_3pin,,
J8,Jack_3.5mm_3pin,,
J9,Jack_3.5mm_3pin,,
J10,Jack_3.5mm_3pin,,
J1,Jack_3.5mm_3pin,,
J2,Jack_3.5mm_3pin,,
C2,C_Small,,
P3,USB_B,,
RV9,POT,,
R2,R_Small,,
U6,ad5204,,
E1,Encoder_switch,,
D1,Led_Small,,
C5,C_Small,,
C10,C_Small,,
RP3,R_PACK8,,
RP1,R_PACK8,,
RP2,R_PACK8,,
R4,R,,
C11,0.1uf,,
C6,C_Small,,
C7,C_Small,,
C8,C_Small,,
C9,C_Small,,
